addrs,alive_time,ip,port,proof_time,speed,style
浙江台州,1分钟,183.149.226.254,37914,17-11-26 19:55,0.647秒,HTTPS
广西防城港,541天,110.73.34.18,8123,17-11-26 19:55,3.49秒,HTTP
广东江门市新会区,6分钟,218.14.141.184,49910,17-11-26 19:50,0.221秒,HTTPS
安徽芜湖,1天,223.241.78.144,8010,17-11-26 19:46,1.993秒,HTTPS
浙江金华,1分钟,122.242.90.87,29283,17-11-26 19:45,1.998秒,HTTPS
四川内江,763天,221.10.159.234,1337,17-11-26 19:28,0.447秒,HTTP
安徽,2天,223.241.116.149,8010,17-11-26 19:15,6.221秒,HTTPS
江苏盐城,16分钟,121.234.118.67,23447,17-11-26 19:01,0.507秒,HTTPS
河南三门峡,6小时,123.55.190.127,30670,17-11-26 19:00,0.265秒,HTTPS
湖北襄阳,4天,219.138.58.52,3128,17-11-26 18:55,1.851秒,HTTPS
云南临沧,10小时,112.114.99.84,8118,17-11-26 18:52,0.373秒,HTTP
安徽,31分钟,223.241.117.122,8010,17-11-26 18:47,7.525秒,HTTP
安徽,1分钟,223.241.119.167,8010,17-11-26 18:33,3.232秒,HTTPS
上海,1分钟,180.155.139.172,21494,17-11-26 18:33,0.161秒,HTTPS
江苏常州,12小时,121.231.226.177,6666,17-11-26 18:31,0.387秒,HTTPS
浙江金华,1分钟,125.112.194.167,40133,17-11-26 18:16,1.514秒,HTTP
广西梧州,1分钟,182.90.105.86,8123,17-11-26 18:15,7.984秒,HTTP
湖北襄阳,114天,219.138.58.119,3128,17-11-26 18:14,1.06秒,HTTPS
山东济宁,8小时,113.120.183.26,808,17-11-26 17:33,0.109秒,HTTPS
安徽,8天,223.241.117.137,8010,17-11-26 17:30,1.701秒,HTTPS
广东深圳,23小时,116.25.251.21,8088,17-11-26 17:24,6.221秒,HTTPS
安徽,2小时,223.241.117.2,8010,17-11-26 17:11,6.832秒,HTTP
北京,1分钟,183.172.178.147,8118,17-11-26 17:11,0.17秒,HTTPS
江苏镇江,11小时,180.118.243.24,61234,17-11-26 17:10,5.475秒,HTTPS
福建莆田,1分钟,110.85.89.213,44033,17-11-26 16:55,2.106秒,HTTPS
湖北襄阳,4天,219.138.58.143,3128,17-11-26 16:54,0.979秒,HTTPS
河南开封,1分钟,123.55.157.112,808,17-11-26 16:45,0.113秒,HTTPS
安徽芜湖,3小时,223.241.78.218,8010,17-11-26 16:45,2.857秒,HTTP
广西梧州,14分钟,182.90.106.250,8123,17-11-26 16:44,0.32秒,HTTP
安徽,8天,223.241.119.221,8010,17-11-26 16:33,2.378秒,HTTPS
广西南宁,488天,110.73.55.76,8123,17-11-26 16:33,5.859秒,HTTP
广西北海,1分钟,121.31.173.215,8123,17-11-26 16:33,0.372秒,HTTPS
广西南宁,78天,110.73.49.124,8123,17-11-26 16:30,6.021秒,HTTPS
天津,59分钟,180.213.192.104,8123,17-11-26 16:30,7.976秒,HTTP
安徽,1分钟,223.241.116.52,8010,17-11-26 16:30,1.966秒,HTTP
江苏镇江,144天,180.118.241.123,808,17-11-26 16:00,0.427秒,HTTPS
广西防城港,620天,110.73.0.127,8123,17-11-26 16:00,0.329秒,HTTP
江苏徐州,153天,180.124.188.50,808,17-11-26 15:57,0.198秒,HTTPS
安徽,1分钟,223.241.118.220,8010,17-11-26 15:55,2.35秒,HTTPS
江苏宿迁市泗阳县,53天,114.239.151.90,36572,17-11-26 15:55,0.557秒,HTTPS
浙江台州,1分钟,115.202.235.45,41663,17-11-26 15:45,2.583秒,HTTPS
浙江宁波,231天,115.217.255.153,808,17-11-26 15:45,5.572秒,HTTPS
浙江温州,1分钟,218.73.130.89,39066,17-11-26 15:45,0.254秒,HTTPS
江苏常州,1分钟,114.226.163.52,35598,17-11-26 15:45,0.228秒,HTTPS
江苏徐州,1分钟,222.187.166.237,25431,17-11-26 15:45,0.19秒,HTTPS
广西北海,1分钟,121.31.177.23,8123,17-11-26 15:44,2.127秒,HTTPS
广西桂林,655天,121.31.193.203,8123,17-11-26 15:33,3.247秒,HTTP
广西贵港,3分钟,110.72.23.44,8123,17-11-26 15:33,0.987秒,HTTP
广西南宁,2分钟,182.88.129.91,8123,17-11-26 15:33,0.276秒,HTTP
广西防城港,447天,121.31.101.86,8123,17-11-26 15:33,2.447秒,HTTP
广西南宁,743天,182.88.179.98,8123,17-11-26 15:33,3.439秒,HTTP
河南新乡,1分钟,123.55.89.195,37330,17-11-26 15:33,0.24秒,HTTPS
